participant,model_index,model,BIC,LL,alpha_1,alpha_2,beta_1,beta_2,_lambda,w,p
0,0,hybrid,498.2656765049905,-230.58872746957712,0.9,0.2206556414357411,2.466272531960952,4.299906598594599,0.4294367958035845,0.4927029932331218,0.2288296347447732
0,1,hybrid_mf,492.99975874049966,-230.6049272706057,0.8757090287681659,0.2542060298868307,1.8314082296044625,4.383995789836709,0.5666657202983952,0.0,0.0957242413217474
0,2,hybrid_mb,486.8303714635065,-232.8185509986572,1.0,0.2329515388149274,2.667238169127826,4.570952881123887,1.0,1.0,0.2040388078750707
1,0,hybrid,568.6103328527257,-265.7610556434447,0.6855391341014432,0.082167706439794,1.9559927476719243,0.001,0.564547429960031,0.2801738238302113,0.1972248508507923
1,1,hybrid_mf,558.7387199224445,-263.47440786157813,0.2773230712343325,0.1631578889032302,2.229408836620422,0.001,0.6893989699023099,0.0,0.196411046373328
1,2,hybrid_mb,564.166044162709,-271.4863873482584,1.0,0.3926775946606254,1.0150165065401398,0.001,1.0,1.0,0.5
2,0,hybrid,455.6347059616629,-209.27324219791333,0.6958163978573988,0.1374629406884736,4.449423954829012,5.113544942626602,0.8738398561804277,0.7095431994054252,-0.0508771037933108
2,1,hybrid_mf,450.9812092704893,-209.5956525356005,0.5800143334965754,0.1169371363567638,1.5631332689722786,5.467592974844689,0.6807433372322529,0.0,-0.1805306134004765
2,2,hybrid_mb,452.0758268070649,-215.4412786704364,1.0,0.0760504603748334,3.5377849931206025,5.635383383519157,1.0,1.0,-0.0137055912531043
3,0,hybrid,574.9838672107147,-268.9478228224392,0.6780346686360016,0.8080776860527137,1.0324659823697004,0.4904814227469503,0.7114611109608525,0.5847798044012711,0.346987222558935
3,1,hybrid_mf,572.5050036286026,-270.3575497146572,0.3435086395001504,0.5808855201792094,0.8609920627785589,0.5683041907976394,0.5046318775626639,0.0,0.5
3,2,hybrid_mb,561.9859155663838,-270.3963230500958,1.0,0.785124220004182,0.8203832037323318,0.5578557031487026,1.0,1.0,0.3841384862641987
4,0,hybrid,580.4139849208442,-271.66288167750395,0.6668580189081393,0.5285613290633276,0.7442852262935513,0.658760948645667,0.7924209946441977,0.2047903875203813,-0.0720232506139419
4,1,hybrid_mf,574.1118127353069,-271.16095426800933,0.1167186092164172,0.4441601206403717,2.139745855686633,0.8561688962238807,0.3719436749766179,0.0,-0.07919353927353
4,2,hybrid_mb,568.4926279789938,-273.6496792564008,1.0,0.274094880358951,1.524487066192636,1.0044457237943702,1.0,1.0,-0.0739021017881255
5,0,hybrid,582.084669138097,-272.4982237861303,0.9,0.771823292137257,1.009542750838815,0.001,0.136781208835876,0.3728146297712406,0.2024824156164414
5,1,hybrid_mf,577.5698232798919,-272.88995954030185,0.5974181292919011,0.9,0.7253483610938521,0.001,0.5284404529329468,0.0,0.2984547244553749
5,2,hybrid_mb,571.4442621640774,-275.1254963489426,1.0,0.4528669545503682,1.6225720690024812,0.001,1.0,1.0,0.1393614872791596
